"Genes, RefSeq propagation from SGD, annotation version R64-2-1"
Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NC_001141.2,483,6147,,minus,854630,
NC_001141.2,8793,9155,PAU14,minus,854631,
NC_001141.2,9183,9500,,plus,854632,
NC_001141.2,9469,9696,,plus,854633,
NC_001141.2,11492,16141,VTH1,plus,854634,
NC_001141.2,16784,18553,IMA3,minus,854635,
NC_001141.2,19515,19844,,plus,2827704,
NC_001141.2,19847,21220,HXT12,plus,854636,
NC_001141.2,23119,26106,CSS1,minus,854637,
NC_001141.2,29032,30048,SDL1,plus,854639,
NC_001141.2,30938,32566,SOA1,minus,854640,
NC_001141.2,33718,34077,,minus,854641,
NC_001141.2,34087,34686,NIT1,minus,854642,
NC_001141.2,36899,37252,,minus,854643,
NC_001141.2,37385,38983,SUC2,plus,854644,
NC_001141.2,39433,40140,,plus,854645,
NC_001141.2,40191,41444,POT1,minus,854646,
NC_001141.2,41825,45952,BNR1,plus,854647,
NC_001141.2,46201,46815,AIM20,plus,854648,
NC_001141.2,46949,47542,COA1,minus,854649,
NC_001141.2,47690,47973,MCO8,plus,3628034,
NC_001141.2,48091,51306,UBP7,plus,854650,
NC_001141.2,51759,53708,GUT2,minus,854651,
NC_001141.2,53981,55021,IMP2',minus,854652,
NC_001141.2,55198,56379,RRD1,plus,854653,
NC_001141.2,56545,57252,,plus,854654,
NC_001141.2,57338,60694,ESL1,minus,854655,
NC_001141.2,61013,62728,MCM10,minus,854656,
NC_001141.2,63028,68067,MLP2,minus,854657,
NC_001141.2,68708,69528,RPL40A,plus,854658,
NC_001141.2,69791,73453,SLN1,minus,854659,
NC_001141.2,74184,75773,ATG32,minus,854660,
NC_001141.2,76354,77283,PAN6,minus,854661,
NC_001141.2,78074,80149,NDC80,plus,854662,
NC_001141.2,80510,83041,SSL2,minus,854663,
NC_001141.2,83302,84885,CCT2,plus,854664,
NC_001141.2,85366,87837,AXL2,plus,854666,
NC_001141.2,87979,88716,REV7,minus,854667,
NC_001141.2,89230,89715,TPM2,minus,854668,
NC_001141.2,89948,92788,TMA108,minus,854669,
NC_001141.2,93619,94800,OM45,plus,854670,
NC_001141.2,95065,96375,VHS2,minus,854671,
NC_001141.2,96522,96725,,minus,1466491,
NC_001141.2,97111,97246,,plus,9164907,
NC_001141.2,97395,98330,FLX1,plus,854672,
NC_001141.2,98527,99416,RPL16A,minus,854673,
NC_001141.2,99860,100501,CSM2,minus,854674,
NC_001141.2,100781,102235,FKH1,minus,854675,
NC_001141.2,102782,105676,ASG1,plus,854676,
NC_001141.2,106107,113237,TAO3,minus,854677,
NC_001141.2,113806,116904,MET18,plus,854678,
NC_001141.2,117024,117644,RRT14,minus,854679,
NC_001141.2,117992,122071,STH1,plus,854680,
NC_001141.2,122689,125733,KGD1,plus,854681,
NC_001141.2,126204,127097,AYR1,plus,854682,
NC_001141.2,128151,129581,SIM1,plus,854683,
NC_001141.2,130610,131665,POG1,plus,854684,
NC_001141.2,132244,133872,QDR2,plus,854685,
NC_001141.2,134417,136108,QDR1,plus,854686,
NC_001141.2,136654,137877,RPI1,minus,854687,
NC_001141.2,139752,140447,RHO3,plus,854688,
NC_001141.2,140613,141569,PRM5,minus,854689,
NC_001141.2,142928,144085,HIS5,plus,854690,
NC_001141.2,144327,148709,NUP159,minus,854691,
NC_001141.2,149143,149988,POR2,minus,854692,
NC_001141.2,150559,151188,SDP1,plus,854693,
NC_001141.2,151595,154846,HOS4,plus,854694,
NC_001141.2,155222,155765,COX5B,plus,854695,
NC_001141.2,156045,157178,HPM1,plus,854696,
NC_001141.2,157385,160165,SEC24,minus,854697,
NC_001141.2,160887,162977,,plus,854698,
NC_001141.2,163278,165761,PFK26,minus,854699,
NC_001141.2,166415,167444,MOB1,plus,854700,
NC_001141.2,167581,169641,SLM1,minus,854701,
NC_001141.2,167664,167804,,plus,13393613,
NC_001141.2,169982,171505,SHQ1,minus,854702,
NC_001141.2,171751,173028,DPH1,plus,854703,
NC_001141.2,173365,173592,,minus,3799974,
NC_001141.2,174582,174887,,minus,854704,
NC_001141.2,175031,175103,,plus,854705,
NC_001141.2,175307,177250,XBP1,minus,854706,
NC_001141.2,178004,179653,SGA1,plus,854708,
NC_001141.2,179772,180239,FMC1,minus,854709,
NC_001141.2,180427,181977,FYV10,plus,854710,
NC_001141.2,182117,183127,BMT5,minus,854711,
NC_001141.2,183440,183513,,minus,854712,
NC_001141.2,183937,186369,PRK1,plus,854713,
NC_001141.2,186517,187632,LYS12,minus,854714,
NC_001141.2,187990,188784,RSM25,minus,854715,
NC_001141.2,189066,190967,,plus,854716,
NC_001141.2,191030,193195,UTP25,minus,854717,
NC_001141.2,193595,195070,ICE2,plus,854718,
NC_001141.2,195599,196216,,plus,854719,
NC_001141.2,197592,197663,,plus,854720,
NC_001141.2,197931,199403,AVT7,minus,854721,
NC_001141.2,199646,200119,AIM19,minus,854722,
NC_001141.2,200153,200461,,minus,854723,
NC_001141.2,200490,202043,KTR7,minus,854724,
NC_001141.2,202276,203259,SDS3,minus,854725,
NC_001141.2,203556,204653,CAB2,minus,854726,
NC_001141.2,205635,210132,,plus,854728,
NC_001141.2,210665,210738,,plus,854730,
NC_001141.2,210923,212005,AIR1,minus,854731,
NC_001141.2,212499,214703,THS1,plus,854732,
NC_001141.2,214991,215953,RCI37,minus,854733,
NC_001141.2,216658,217548,SEC28,plus,854734,
NC_001141.2,217863,220700,RPN2,minus,854735,
NC_001141.2,221081,222490,SER33,minus,854736,
NC_001141.2,222937,225954,SPO22,minus,854737,
NC_001141.2,226602,228419,HOP1,plus,854738,
NC_001141.2,228660,229994,PCI8,minus,854739,
NC_001141.2,230272,231072,MAM33,minus,854740,
NC_001141.2,231553,232369,RPS24B,minus,854741,
NC_001141.2,233057,235474,SEC6,minus,854742,
NC_001141.2,235724,237760,,minus,854743,
NC_001141.2,238099,240708,RNR3,minus,854744,
NC_001141.2,241308,241775,FIS1,minus,854745,
NC_001141.2,241943,242716,EFM4,plus,854746,
NC_001141.2,242761,243744,YRB2,minus,854747,
NC_001141.2,243998,244462,ARC15,minus,854748,
NC_001141.2,244657,245559,SNP1,minus,854749,
NC_001141.2,246392,246826,,plus,854750,
NC_001141.2,247902,248396,RGI2,minus,854753,
NC_001141.2,248850,248931,SUP17,plus,854754,
NC_001141.2,249991,251913,VHR1,plus,854755,
NC_001141.2,252042,253925,,minus,854756,
NC_001141.2,254543,254860,,plus,854757,
NC_001141.2,255115,255867,GPP1,plus,854758,
NC_001141.2,256226,257063,RPL34B,minus,854759,
NC_001141.2,257843,258280,MMF1,minus,854760,
NC_001141.2,258913,259770,PCL7,plus,854761,
NC_001141.2,260158,260919,DFG10,plus,854762,
NC_001141.2,261437,264892,NEO1,plus,854763,
NC_001141.2,265115,267823,SYG1,minus,854764,
NC_001141.2,268309,268473,,plus,1466492,
NC_001141.2,268651,270573,MET30,plus,854765,
