"Genes, RefSeq propagation from SGD, annotation version R64-2-1"
Accession,Start,Stop,Gene symbol,Strand,NCBI Gene ID,Name
NC_001133.9,1807,2169,PAU8,minus,851229,
NC_001133.9,2480,2707,,plus,1466426,
NC_001133.9,7235,9016,SEO1,minus,851230,
NC_001133.9,11565,11951,,minus,851232,
NC_001133.9,12046,12426,,plus,851233,
NC_001133.9,13363,13743,TDA8,minus,851234,
NC_001133.9,21566,21850,,plus,851235,
NC_001133.9,22395,22685,,minus,1466427,
NC_001133.9,24000,27968,FLO9,minus,851236,
NC_001133.9,31567,32940,GDH3,plus,851237,
NC_001133.9,33448,34701,BDH2,plus,851238,
NC_001133.9,35155,36303,BDH1,plus,851239,
NC_001133.9,36509,37147,ECM1,plus,851240,
NC_001133.9,37464,38972,CNE1,plus,851241,
NC_001133.9,39259,41901,GPB2,plus,851243,
NC_001133.9,42177,42719,PEX22,plus,851244,
NC_001133.9,42881,45022,ACS1,minus,851245,
NC_001133.9,45899,48250,FLC2,plus,851246,
NC_001133.9,48564,51707,OAF1,plus,851247,
NC_001133.9,51855,52595,AIM2,minus,851248,
NC_001133.9,52801,54789,GEM1,minus,851249,
NC_001133.9,54989,56857,SPC72,minus,851250,
NC_001133.9,57029,57385,BOL3,minus,851251,
NC_001133.9,57518,57850,BOL1,plus,851252,
NC_001133.9,57950,58462,GCV3,minus,851254,
NC_001133.9,58695,61052,PTA1,minus,851255,
NC_001133.9,61316,62563,ERV46,plus,851256,
NC_001133.9,62840,65404,CDC24,plus,851190,
NC_001133.9,65778,67520,CLN3,minus,851191,
NC_001133.9,68716,69525,CYC3,minus,851192,
NC_001133.9,71786,73288,CDC19,plus,851193,
NC_001133.9,73426,73518,,minus,1466428,
NC_001133.9,74020,74823,,plus,851194,
NC_001133.9,75043,76152,RBG1,minus,851195,
NC_001133.9,76427,79435,FUN12,plus,851196,
NC_001133.9,79718,80587,MTW1,plus,851197,
NC_001133.9,80710,81951,FUN19,minus,851199,
NC_001133.9,82706,83227,POP5,plus,851200,
NC_001133.9,83335,84474,PRP45,minus,851201,
NC_001133.9,84749,87031,GIP4,minus,851202,
NC_001133.9,87286,87752,SNC1,plus,851203,
NC_001133.9,87855,92270,MYO4,minus,851204,
NC_001133.9,92900,94486,FRT2,plus,851205,
NC_001133.9,94687,95472,SAW1,plus,851206,
NC_001133.9,95630,99697,DRS2,minus,851207,
NC_001133.9,99305,99868,,plus,9164866,
NC_001133.9,100225,101145,MAK16,minus,851208,
NC_001133.9,101565,105872,LTE1,minus,851209,
NC_001133.9,106272,108551,PMT2,minus,851210,
NC_001133.9,108877,110430,FUN26,minus,851211,
NC_001133.9,110846,113359,CCR4,minus,851212,
NC_001133.9,113614,114615,ATS1,minus,851213,
NC_001133.9,114919,118314,FUN30,plus,851214,
NC_001133.9,118564,119541,LDS1,minus,851215,
NC_001133.9,120225,124295,PSK1,plus,851216,
NC_001133.9,124879,126786,TPD3,plus,851217,
NC_001133.9,126903,128102,NTG1,minus,851218,
NC_001133.9,128252,129019,SYN8,minus,851219,
NC_001133.9,129270,130487,DEP1,plus,851220,
NC_001133.9,130799,131983,CYS3,plus,851221,
NC_001133.9,132199,134076,SWC3,plus,851222,
NC_001133.9,134184,135665,MDM10,minus,851223,
NC_001133.9,135854,136633,SPO7,plus,851224,
NC_001133.9,136914,137510,FUN14,plus,851225,
NC_001133.9,137698,138345,ERP2,minus,851226,
NC_001133.9,139152,139254,TRN1,plus,851227,
NC_001133.9,139503,141431,SSA1,minus,851259,
NC_001133.9,142174,143160,EFB1,plus,851260,
NC_001133.9,142367,142468,,plus,9164867,
NC_001133.9,143707,147531,VPS8,plus,851261,
NC_001133.9,147594,151166,TFC3,minus,851262,
NC_001133.9,152257,153876,NUP60,plus,851263,
NC_001133.9,154065,154724,ERP1,minus,851264,
NC_001133.9,155005,156285,SWD1,plus,851265,
NC_001133.9,156754,158619,RFA1,minus,851266,
NC_001133.9,158966,159793,SEN34,plus,851267,
NC_001133.9,160597,164187,,minus,851268,
NC_001133.9,164544,165866,,minus,851269,
NC_001133.9,166267,166339,TGA1,plus,851270,
NC_001133.9,166742,168871,BUD14,minus,851271,
NC_001133.9,169375,170295,ADE1,plus,851272,
NC_001133.9,170396,171703,KIN3,minus,851273,
NC_001133.9,172211,175135,CDC15,minus,851274,
NC_001133.9,176856,177023,PAU7,minus,851275,
NC_001133.9,179281,179820,,minus,851276,
NC_001133.9,181141,181254,SUP56,plus,851277,
NC_001133.9,182522,182603,,minus,851278,
NC_001133.9,183770,184477,UIP3,plus,851279,
NC_001133.9,184892,185596,,plus,851280,
NC_001133.9,186321,186545,,plus,851281,
NC_001133.9,186836,187732,PRM9,plus,851282,
NC_001133.9,188107,188811,MST28,plus,851284,
NC_001133.9,190193,192256,YAT1,plus,851285,
NC_001133.9,192337,192417,,minus,1466430,
NC_001133.9,192619,196185,SWH1,plus,851286,
NC_001133.9,203403,208016,FLO1,plus,851289,
NC_001133.9,218140,219145,,plus,851292,
NC_001133.9,220198,220497,,plus,851294,
NC_001133.9,221049,221660,,plus,851295,
NC_001133.9,222406,222891,,plus,851296,
NC_001133.9,225460,226863,PHO11,plus,851299,
